temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,temperament_1,temperament_2,temperament_3
"Confident, Famously Funny, Fearless",148.0,22.86,29.21,3.17514659,4.535923700000001,12.0,15.0,Toy Group,0.6,0.6,0.6,0.8,1.0,Confident,Famously Funny,Fearless
"Dignified, Profoundly Loyal, Aristocratic",113.0,63.5,68.58,22.6796185,27.2155422,12.0,15.0,Hound Group,0.8,0.2,0.8,0.2,0.2,Dignified,Profoundly Loyal,Aristocratic
"Friendly, Clever, Courageous",60.0,58.42,58.42,22.6796185,31.751465900000003,11.0,14.0,Terrier Group,0.6,0.4,0.6,1.0,0.8,Friendly,Clever,Courageous
"Courageous, Dignified, Profoundly Loyal",47.0,60.96,71.12,31.751465900000003,58.9670081,10.0,13.0,Working Group,0.8,0.6,0.8,1.0,0.6,Courageous,Dignified,Profoundly Loyal
"Affectionate, Loyal, Playful",58.0,58.42,63.5,34.01942775,38.55535145,10.0,14.0,Working Group,0.6,0.6,0.8,0.4,0.8,Affectionate,Loyal,Playful
"Loyal, Self-Confident",96.0,50.8,63.5,27.2155422,45.359237,10.0,12.0,Foundation Stock Service,0.2,0.6,0.8,0.6,0.6,Loyal,Self-Confident,Unknown
"Sweet, Mellow, Sociable",175.0,58.42,66.04,20.41165665,29.48350405,11.0,12.0,Hound Group,0.2,0.4,0.8,0.6,0.6,Sweet,Mellow,Sociable
"Playful, Perky, Smart",122.0,22.86,48.26,2.72155422,15.875732950000002,13.0,15.0,Non-Sporting Group,0.4,0.6,0.8,1.0,1.0,Playful,Perky,Smart
"Independent, Easy-Going, Sweet-Tempered",186.0,53.34,63.5,27.2155422,31.751465900000003,11.0,13.0,Hound Group,0.2,0.6,0.8,0.4,0.8,Independent,Easy-Going,Sweet-Tempered
"Energetic, Alert, Curious",136.0,30.48,40.64,5.4431084400000005,7.25747792,14.0,16.0,Terrier Group,0.4,0.4,0.6,0.6,0.6,Energetic,Alert,Curious
"Sociable, Energetic, Intelligent",96.0,53.34,68.58,20.41165665,31.751465900000003,12.0,15.0,Foundation Stock Service,0.4,0.6,0.8,1.0,0.6,Sociable,Energetic,Intelligent
"Confident, Smart, Good-Natured",85.0,43.18,48.26,18.1436948,31.751465900000003,12.0,16.0,Terrier Group,0.2,0.4,0.6,0.6,0.6,Confident,Smart,Good-Natured
"Eager, Happy, Charming",166.0,38.1,45.72,11.33980925,20.41165665,10.0,14.0,Sporting Group,0.6,0.2,0.6,1.0,0.8,Eager,Happy,Charming
"Loyal, Independent, Reserved",90.0,68.58,73.66,36.2873896,68.0388555,11.0,13.0,Working Group,0.4,0.6,0.6,0.4,0.4,Loyal,Independent,Reserved
"Agile, Versatile, Lively",96.0,48.26,55.88,21.77243376,31.751465900000003,12.0,15.0,Foundation Stock Service,0.4,0.8,1.0,0.2,0.4,Agile,Versatile,Lively
"Alert, Curious, Pleasant",55.0,43.18,50.8,15.875732950000002,22.6796185,12.0,16.0,Herding Group,0.2,0.8,1.0,0.2,0.4,Alert,Curious,Pleasant
"Loyal, Alert, Intelligent",96.0,43.18,50.8,18.1436948,27.2155422,10.0,13.0,Foundation Stock Service,0.4,0.8,0.8,1.0,0.6,Loyal,Alert,Intelligent
"Smart, Work-Oriented, Exuberant",17.0,45.72,58.42,18.1436948,29.48350405,12.0,15.0,Herding Group,0.4,0.6,0.8,1.0,0.6,Smart,Work-Oriented,Exuberant
"Alert, Trainable, Comical",96.0,43.18,50.8,14.51495584,20.41165665,12.0,15.0,Foundation Stock Service,0.4,0.4,0.8,0.8,0.6,Alert,Trainable,Comical
"Affectionate, Courageous, Spirited",140.0,25.4,27.94,6.80388555,9.0718474,11.0,15.0,Terrier Group,0.4,0.2,0.8,0.6,0.8,Affectionate,Courageous,Spirited
"Loyal, Independent, Deeply Affectionate",96.0,59.69,73.66,14.968548210000002,24.947580350000003,12.0,15.0,Hound Group,0.4,0.4,0.6,0.4,0.8,Loyal,Independent,Deeply Affectionate
"Friendly, Bright, Sweet-Natured",96.0,48.26,62.23,15.875732950000002,29.48350405,12.0,14.0,Sporting Group,0.4,0.2,0.6,0.6,0.8,Friendly,Bright,Sweet-Natured
"Independent, Smart, Poised",87.0,40.64,43.18,9.97903214,10.88621688,13.0,14.0,Hound Group,0.2,0.4,0.8,0.4,0.4,Independent,Smart,Poised
"Smart, Cheerful, Determined",96.0,31.75,39.37,12.24699399,15.875732950000002,12.0,12.0,Foundation Stock Service,0.4,0.6,0.6,0.2,1.0,Smart,Cheerful,Determined
"Charming, Patient, Low-Key",39.0,38.1,38.1,18.1436948,29.48350405,12.0,13.0,Hound Group,0.6,0.4,0.2,0.4,0.8,Charming,Patient,Low-Key
"Loyal, Versatile, Reserved with Strangers",96.0,43.18,52.07,16.78291769,29.937096420000003,12.0,15.0,Foundation Stock Service,0.4,0.8,0.6,0.6,0.4,Loyal,Versatile,Reserved with Strangers
"Friendly, Curious, Merry",6.0,33.02,38.1,5.8967008100000005,13.6077711,10.0,15.0,Hound Group,0.6,0.6,0.8,0.6,0.8,Friendly,Curious,Merry
